fierté,honte,respect,mépris,jalousie,pitié
11.370493991989319,12.197441043652784,11.9683,11.734960767218832,11.445950204853451,11.343434343434344
11.0,12.0,12.0,12.0,11,11.0
2,2,2,2,2,0
7.256569043425869,7.645389815022127,7.138283765023635,7.304763590888801,7.357855227706332,7.883253720094653
52.65779428200663,58.45198542364407,50.95509511,53.35957111877465,54.1380335518854,62.145689215386184
10.86648865153538,10.424234821876569,11.4555,11.77027027027027,10.183422628427357,12.323232323232324
10.0,9.0,11.0,12.0,9,12.0
1,1,1,1,1,1
7.48194523455377,7.928013092802663,7.082571549232666,7.366715491796009,7.744283050038252,7.847187339935635
55.979504492861864,62.85339159965046,50.162819750000004,54.26849713706732,59.973919959109764,61.578349148046115
25.746328437917224,25.861766181635726,26.4893,26.64167393199651,24.98266624645446,27.02828282828283
25.0,26.0,26.0,26.0,25,26.0
25,26,26,24,26,28
9.679289991726199,10.776347345408901,9.5724440719181,10.095219201627174,10.300741616895268,10.878818641337821
93.68865474393094,116.12966210890148,91.63168551,101.91345072890198,106.10527785803814,118.34869503111928
